0,1,2,3,4,5,6,7,8,9,10
herbs,spread cheese,rolls/buns,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
mustard,yogurt,cat food,bottled beer,,,,,,,
citrus fruit,soda,whole milk,whipped/sour cream,,,,,,,
frozen meals,bottled beer,,,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
chicken,yogurt,,,,,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
pot plants,misc. beverages,baking powder,,,,,,,,
canned beer,yogurt,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
yogurt,butter,,,,,,,,,
pork,margarine,,,,,,,,,
whole milk,ice cream,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pork,shopping bags,,,,,,,,,
chicken,whole milk,whole milk,coffee,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
bottled beer,butter,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
whole milk,other vegetables,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
rolls/buns,curd,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
specialty chocolate,sauces,,,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
brown bread,oil,,,,,,,,,
liqueur,chocolate,,,,,,,,,
curd,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
cat food,roll products ,,,,,,,,,
pork,butter,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
sausage,salty snack,brown bread,white bread,candles,,,,,,
soda,yogurt,,,,,,,,,
cream cheese ,cleaner,,,,,,,,,
beef,spread cheese,cake bar,,,,,,,,
tropical fruit,beverages,,,,,,,,,
bottled water,whole milk,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
chicken,dessert,,,,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
pip fruit,soda,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
whole milk,beef,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
berries,frozen meals,shopping bags,,,,,,,,
whole milk,flour,,,,,,,,,
brown bread,whole milk,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
pork,yogurt,,,,,,,,,
butter,whole milk,,,,,,,,,
UHT-milk,fish,,,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
other vegetables,brown bread,,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
salty snack,white wine,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
soda,instant coffee,,,,,,,,,
cat food,whipped/sour cream,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
berries,specialty cheese,,,,,,,,,
whole milk,margarine,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
whole milk,dessert,,,,,,,,,
ice cream,chocolate,seasonal products,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,rolls/buns,soda,other vegetables,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
curd,yogurt,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
liquor,cream,coffee,,,,,,,,
waffles,specialty bar,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
curd,pip fruit,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
frozen meals,jam,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
root vegetables,newspapers,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
canned beer,shopping bags,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
rolls/buns,bottled water,,,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
rolls/buns,margarine,,,,,,,,,
ham,newspapers,bottled beer,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
sugar,napkins,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
coffee,butter milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,white wine,,,,,,,,,
canned beer,curd,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
newspapers,salty snack,,,,,,,,,
whole milk,canned beer,,,,,,,,,
canned beer,napkins,,,,,,,,,
brown bread,soda,,,,,,,,,
frankfurter,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
cleaner,pastry,,,,,,,,,
red/blush wine,bottled water,sweet spreads,,,,,,,,
soda,pip fruit,coffee,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
sausage,bottled beer,photo/film,margarine,whipped/sour cream,,,,,,
UHT-milk,soda,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
pip fruit,soda,,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
citrus fruit,soda,,,,,,,,,
mayonnaise,pastry,,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
chicken,pastry,,,,,,,,,
sausage,whole milk,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
sausage,root vegetables,,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
whole milk,canned beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
pastry,newspapers,,,,,,,,,
beef,newspapers,canned vegetables,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
chicken,chocolate,,,,,,,,,
cereals,rolls/buns,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
meat,dessert,,,,,,,,,
dessert,butter,,,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
sausage,pastry,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
ham,other vegetables,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,detergent,,,,,,,,,
cat food,pasta,,,,,,,,,
meat,curd,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
bottled water,chocolate,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
ham,frozen meals,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
frankfurter,white bread,,,,,,,,,
margarine,soda,,,,,,,,,
hamburger meat,soda,,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
sausage,bottled beer,,,,,,,,,
pork,long life bakery product,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
shopping bags,soda,,,,,,,,,
domestic eggs,soda,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,pastry,,,,,,,,,
curd,cat food,,,,,,,,,
pork,yogurt,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
sausage,yogurt,,,,,,,,,
berries,tropical fruit,,,,,,,,,
chicken,bottled water,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
tropical fruit,yogurt,candy,,,,,,,,
yogurt,napkins,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
other vegetables,soda,,,,,,,,,
soups,white bread,other vegetables,,,,,,,,
whole milk,shopping bags,,,,,,,,,
butter,condensed milk,,,,,,,,,
nut snack,canned beer,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
turkey,rolls/buns,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
brown bread,yogurt,,,,,,,,,
oil,flour,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
cookware,other vegetables,,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
specialty bar,canned beer,,,,,,,,,
curd,curd,,,,,,,,,
newspapers,roll products ,,,,,,,,,
pastry,specialty bar,,,,,,,,,
photo/film,root vegetables,newspapers,,,,,,,,
whole milk,white bread,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
dog food,brown bread,salty snack,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
pip fruit,other vegetables,,,,,,,,,
newspapers,newspapers,,,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
pastry,domestic eggs,bottled water,,,,,,,,
root vegetables,bottled water,,,,,,,,,
canned beer,frozen potato products,,,,,,,,,
sausage,yogurt,baking powder,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
specialty cheese,onions,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
whole milk,waffles,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
beef,other vegetables,,,,,,,,,
bottled beer,newspapers,seasonal products,bottled water,,,,,,,
dessert,spread cheese,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
pork,butter,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
pip fruit,other vegetables,coffee,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,curd,bottled water,frozen meals,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
long life bakery product,zwieback,,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
oil,candy,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,whipped/sour cream,hygiene articles,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
butter,whipped/sour cream,decalcifier,,,,,,,,
frankfurter,canned beer,,,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
whole milk,pastry,,,,,,,,,
bottled water,yogurt,seasonal products,,,,,,,,
chicken,yogurt,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
whole milk,brandy,brown bread,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
brown bread,soda,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
frankfurter,specialty bar,whole milk,rice,dishes,,,,,,
whole milk,hygiene articles,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
pork,bottled beer,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
organic sausage,soda,rolls/buns,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
salty snack,butter,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
pork,whole milk,,,,,,,,,
bottled water,flour,,,,,,,,,
citrus fruit,beef,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
dessert,beef,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
newspapers,dishes,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
frankfurter,herbs,,,,,,,,,
sausage,shopping bags,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
newspapers,frozen dessert,,,,,,,,,
chicken,oil,chocolate,candy,,,,,,,
canned beer,hamburger meat,,,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
chicken,whipped/sour cream,canned vegetables,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,margarine,,,,,,,,,
ice cream,soda,,,,,,,,,
pork,oil,,,,,,,,,
yogurt,processed cheese,,,,,,,,,
bottled beer,rolls/buns,ice cream,pastry,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
onions,newspapers,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
newspapers,salty snack,,,,,,,,,
canned beer,yogurt,,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
processed cheese,specialty bar,,,,,,,,,
tropical fruit,candy,,,,,,,,,
tropical fruit,pickled vegetables,bottled beer,,,,,,,,
pork,soda,,,,,,,,,
turkey,chewing gum,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,candles,yogurt,,,,,,,,
margarine,dishes,,,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,coffee,,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
whole milk,whole milk,,,,,,,,,
liquor,soda,,,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
fruit/vegetable juice,dental care,,,,,,,,,
soda,whole milk,,,,,,,,,
sausage,pot plants,,,,,,,,,
pork,butter,,,,,,,,,
chicken,root vegetables,,,,,,,,,
pip fruit,pot plants,,,,,,,,,
other vegetables,whole milk,semi-finished bread,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
rolls/buns,cake bar,,,,,,,,,
rolls/buns,root vegetables,bottled beer,yogurt,pickled vegetables,,,,,,
soda,yogurt,,,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
frankfurter,butter,bottled beer,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
curd,specialty chocolate,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
bottled water,soda,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
whole milk,whole milk,,,,,,,,,
long life bakery product,butter milk,Instant food products,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
margarine,yogurt,,,,,,,,,
pip fruit,frozen vegetables,abrasive cleaner,,,,,,,,
pork,liver loaf,canned beer,whole milk,,,,,,,
margarine,sugar,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
coffee,other vegetables,candy,whole milk,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
butter milk,fruit/vegetable juice,pastry,margarine,,,,,,,
pork,pork,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pork,condensed milk,oil,,,,,,,,
shopping bags,whole milk,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
white bread,butter,,,,,,,,,
soda,meat,,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
turkey,canned beer,abrasive cleaner,,,,,,,,
frankfurter,whole milk,,,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
herbs,root vegetables,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
other vegetables,whole milk,,,,,,,,,
dessert,other vegetables,,,,,,,,,
white bread,pickled vegetables,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
light bulbs,whole milk,,,,,,,,,
meat,frozen potato products,,,,,,,,,
curd,long life bakery product,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
butter,pastry,,,,,,,,,
sausage,whole milk,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
sausage,pork,yogurt,napkins,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
pork,citrus fruit,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
root vegetables,specialty chocolate,frozen vegetables,canned beer,frozen fish,,,,,,
newspapers,brown bread,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
white wine,root vegetables,,,,,,,,,
sauces,tropical fruit,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
chicken,pastry,,,,,,,,,
napkins,spices,,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
ham,other vegetables,,,,,,,,,
shopping bags,cream cheese ,,,,,,,,,
frankfurter,brandy,,,,,,,,,
shopping bags,napkins,,,,,,,,,
domestic eggs,soda,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,napkins,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
pip fruit,snack products,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
butter,whole milk,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
salty snack,bottled water,,,,,,,,,
beef,frankfurter,chewing gum,margarine,chewing gum,detergent,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
brown bread,newspapers,margarine,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
pastry,yogurt,,,,,,,,,
root vegetables,coffee,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
beef,soda,,,,,,,,,
pork,herbs,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
citrus fruit,beverages,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
sausage,white bread,coffee,,,,,,,,
pastry,chewing gum,,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
citrus fruit,waffles,,,,,,,,,
white bread,margarine,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
newspapers,salty snack,pastry,,,,,,,,
popcorn,butter,,,,,,,,,
onions,instant coffee,,,,,,,,,
finished products,newspapers,,,,,,,,,
berries,pip fruit,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
soda,margarine,,,,,,,,,
yogurt,sausage,whipped/sour cream,onions,,,,,,,
chicken,tropical fruit,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
soda,misc. beverages,,,,,,,,,
root vegetables,root vegetables,citrus fruit,cat food,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
frankfurter,other vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
whole milk,soda,newspapers,,,,,,,,
frankfurter,dishes,,,,,,,,,
whole milk,soda,soda,,,,,,,,
pork,ice cream,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
turkey,root vegetables,,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
meat,beef,curd,,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
newspapers,whole milk,waffles,,,,,,,,
whole milk,yogurt,,,,,,,,,
curd cheese,mustard,bottled water,,,,,,,,
sausage,butter,,,,,,,,,
liqueur,whole milk,,,,,,,,,
white bread,shopping bags,,,,,,,,,
frankfurter,ketchup,,,,,,,,,
berries,sliced cheese,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
specialty chocolate,specialty cheese,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
pip fruit,whole milk,napkins,,,,,,,,
beef,soda,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
root vegetables,snack products,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
pip fruit,butter,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
beef,butter milk,,,,,,,,,
frozen vegetables,pot plants,,,,,,,,,
sausage,root vegetables,,,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
whole milk,newspapers,,,,,,,,,
chicken,pip fruit,curd,,,,,,,,
hard cheese,bottled water,root vegetables,brown bread,,,,,,,
pip fruit,detergent,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
beef,roll products ,root vegetables,chicken,waffles,male cosmetics,grapes,brown bread,,,
soda,frozen meals,bottled beer,,,,,,,,
canned beer,white bread,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
ham,cream cheese ,,,,,,,,,
sausage,whole milk,,,,,,,,,
grapes,soda,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
whole milk,dental care,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
chicken,cat food,,,,,,,,,
turkey,root vegetables,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
sliced cheese,dessert,shopping bags,,,,,,,,
berries,butter,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
pip fruit,yogurt,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
canned beer,bottled water,,,,,,,,,
bottled water,soda,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
soda,candy,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
ham,whole milk,whole milk,coffee,,,,,,,
margarine,bottled water,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
white wine,sliced cheese,whole milk,oil,rolls/buns,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
whole milk,onions,,,,,,,,,
grapes,waffles,soda,,,,,,,,
napkins,mayonnaise,,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
soda,misc. beverages,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
ice cream,whipped/sour cream,,,,,,,,,
other vegetables,candy,,,,,,,,,
beverages,curd,,,,,,,,,
roll products ,root vegetables,mayonnaise,,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
canned beer,other vegetables,,,,,,,,,
zwieback,sausage,whole milk,soda,canned beer,hygiene articles,,,,,
hamburger meat,whole milk,,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
brown bread,coffee,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
fruit/vegetable juice,onions,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
sausage,beverages,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
whole milk,cream cheese ,,,,,,,,,
beef,beef,margarine,,,,,,,,
root vegetables,hygiene articles,domestic eggs,,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
white bread,spread cheese,,,,,,,,,
napkins,dessert,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
frozen meals,mustard,,,,,,,,,
citrus fruit,salty snack,,,,,,,,,
beef,candy,,,,,,,,,
dessert,UHT-milk,margarine,,,,,,,,
pet care,other vegetables,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
soda,beef,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
curd,soda,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
